epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,19.1601,0.71362,0.91089,1.01711,0.95482,0.38333,0.41853,0.31718,1.8268,2.44565,1.55805,2.89884e-05,2.89884e-05,2.89884e-05
62,19.4522,0.57824,0.74992,0.98176,0.95482,0.38333,0.41853,0.31718,1.8268,2.44565,1.55805,2.87529e-05,2.87529e-05,2.87529e-05
63,19.7452,0.72533,1.43335,1.23941,0.96609,0.38631,0.42297,0.31944,1.82695,2.41879,1.55312,2.84938e-05,2.84938e-05,2.84938e-05
64,20.0679,0.72092,0.90006,1.1923,0.96609,0.38631,0.42297,0.31944,1.82695,2.41879,1.55312,2.82112e-05,2.82112e-05,2.82112e-05
65,20.3477,0.80324,0.7316,1.17023,0.96609,0.38631,0.42297,0.31944,1.82695,2.41879,1.55312,2.7905e-05,2.7905e-05,2.7905e-05
66,20.6563,0.82473,1.37151,1.18246,0.9634,0.3862,0.42346,0.31686,1.81116,2.40333,1.54251,2.75753e-05,2.75753e-05,2.75753e-05
67,20.9463,0.84308,1.33002,1.26995,0.9634,0.3862,0.42346,0.31686,1.81116,2.40333,1.54251,2.7222e-05,2.7222e-05,2.7222e-05
68,21.2455,0.88025,0.9216,1.19277,0.9634,0.3862,0.42346,0.31686,1.81116,2.40333,1.54251,2.68451e-05,2.68451e-05,2.68451e-05
69,21.5327,0.81388,0.88373,1.16977,0.96229,0.38641,0.42278,0.3167,1.76629,2.33216,1.47028,2.64447e-05,2.64447e-05,2.64447e-05
70,21.8282,0.59422,0.65942,1.00082,0.96229,0.38641,0.42278,0.3167,1.76629,2.33216,1.47028,2.60207e-05,2.60207e-05,2.60207e-05
71,22.0846,0.62379,0.70894,1.0572,0.96229,0.38641,0.42278,0.3167,1.76629,2.33216,1.47028,2.55731e-05,2.55731e-05,2.55731e-05
